NUTS1;DISTRICT_CODE;POP_TOTAL;POP_MALE;POP_FEMALE;BIRTH_FEMALE;BIRTH_MALE;BIRTH_SUM;DEATH_FEMALE;DEATH_MALE;DEATH_SUM;AREA;DENSITY_OF_POPULATION;DISTRICT_BLAZON;REF_YEAR;REF_DATE
Geocode;Bezirkscode;Einwohneranzahl - Gesamt;Einwohneranzahl - Männer;Einwohneranzahl - Frauen;Geburtenrate Weiblich;Geburtenrate - Männlich;Geburtenrate - Gesamt;Sterberate - Weiblich;Sterberate - Männlich;Sterberate - Gesamt;Fläche;Bevölkerungsdichte;Wappen;Jahr;Datum
AT1;90100;17630;8316;9314;58;72;130;89;106;195;2,87;6142,86;DISTRICT_BLAZON_1.png;2002;20020101
AT1;90200;89016;43170;45846;490;491;981;430;516;946;19,24;4626,61;DISTRICT_BLAZON_2.png;2002;20020101
AT1;90300;82227;38743;43484;370;391;761;375;510;885;7,4;11111,76;DISTRICT_BLAZON_3.png;2002;20020101
AT1;90400;28975;13378;15597;135;124;259;141;207;348;1,78;16278,09;DISTRICT_BLAZON_4.png;2002;20020101
AT1;90500;49785;23821;25964;268;289;557;231;325;556;2,01;24768,66;DISTRICT_BLAZON_5.png;2002;20020101
AT1;90600;28525;13551;14974;141;143;284;105;199;304;1,46;19537,67;DISTRICT_BLAZON_6.png;2002;20020101
AT1;90700;28912;13698;15214;157;148;305;91;185;276;1,61;17957,76;DISTRICT_BLAZON_7.png;2002;20020101
AT1;90800;22219;10390;11829;102;108;210;97;114;211;1,09;20384,4;DISTRICT_BLAZON_8.png;2002;20020101
AT1;90900;38290;17913;20377;169;197;366;164;249;413;2,97;12892,26;DISTRICT_BLAZON_9.png;2002;20020101
AT1;91000;152796;73103;79693;839;793;1632;752;930;1682;31,82;4801,89;DISTRICT_BLAZON_10.png;2002;20020101
AT1;91100;78785;38151;40634;473;482;955;357;355;712;23,26;3387,15;DISTRICT_BLAZON_11.png;2002;20020101
AT1;91200;78971;37114;41857;424;417;841;391;532;923;8,1;9749,51;DISTRICT_BLAZON_12.png;2002;20020101
AT1;91300;50341;22388;27953;205;227;432;292;549;841;37,72;1334,6;DISTRICT_BLAZON_13.png;2002;20020101
AT1;91400;79142;36766;42376;429;369;798;355;626;981;33,76;2344,25;DISTRICT_BLAZON_14.png;2002;20020101
AT1;91500;67482;33026;34456;398;381;779;271;374;645;3,92;17214,8;DISTRICT_BLAZON_15.png;2002;20020101
AT1;91600;87914;42080;45834;542;487;1029;441;476;917;8,67;10140,02;DISTRICT_BLAZON_16.png;2002;20020101
AT1;91700;48827;23166;25661;253;263;516;204;296;500;11,39;4286,83;DISTRICT_BLAZON_17.png;2002;20020101
AT1;91800;45505;20732;24773;237;226;463;205;369;574;6,35;7166,14;DISTRICT_BLAZON_18.png;2002;20020101
AT1;91900;65327;29329;35998;281;322;603;378;568;946;24,94;2619,37;DISTRICT_BLAZON_19.png;2002;20020101
AT1;92000;76837;37437;39400;446;481;927;367;436;803;5,71;13456,57;DISTRICT_BLAZON_20.png;2002;20020101
AT1;92100;129726;61444;68282;659;606;1265;566;658;1224;44,44;2919,13;DISTRICT_BLAZON_21.png;2002;20020101
AT1;92200;138100;65973;72127;819;717;1536;547;598;1145;102,3;1349,95;DISTRICT_BLAZON_22.png;2002;20020101
AT1;92300;85791;40048;45743;416;383;799;364;525;889;32,07;2675,12;DISTRICT_BLAZON_23.png;2002;20020101
AT1;90100;17541;8270;9271;84;84;168;92;125;217;2,87;6111,85;DISTRICT_BLAZON_1.png;2003;20030101
AT1;90200;89954;43717;46237;512;490;1002;394;513;907;19,24;4675,36;DISTRICT_BLAZON_2.png;2003;20030101
AT1;90300;82297;38896;43401;426;380;806;395;516;911;7,4;11121,22;DISTRICT_BLAZON_3.png;2003;20030101
AT1;90400;29348;13622;15726;155;139;294;118;218;336;1,78;16487,64;DISTRICT_BLAZON_4.png;2003;20030101
AT1;90500;50367;24169;26198;307;269;576;214;252;466;2,01;25058,21;DISTRICT_BLAZON_5.png;2003;20030101
AT1;90600;28805;13763;15042;154;142;296;116;189;305;1,46;19729,45;DISTRICT_BLAZON_6.png;2003;20030101
AT1;90700;28968;13738;15230;157;116;273;107;156;263;1,61;17992,55;DISTRICT_BLAZON_7.png;2003;20030101
AT1;90800;23156;11102;12054;104;93;197;87;118;205;1,09;21244,04;DISTRICT_BLAZON_8.png;2003;20030101
AT1;90900;38304;17974;20330;224;195;419;167;245;412;2,97;12896,97;DISTRICT_BLAZON_9.png;2003;20030101
AT1;91000;156349;75247;81102;857;785;1642;776;887;1663;31,82;4913,54;DISTRICT_BLAZON_10.png;2003;20030101
AT1;91100;80485;38941;41544;506;427;933;338;355;693;23,26;3460,23;DISTRICT_BLAZON_11.png;2003;20030101
AT1;91200;80270;37863;42407;438;420;858;393;560;953;8,1;9909,88;DISTRICT_BLAZON_12.png;2003;20030101
AT1;91300;50797;22706;28091;205;217;422;344;519;863;37,72;1346,69;DISTRICT_BLAZON_13.png;2003;20030101
AT1;91400;80185;37550;42635;394;360;754;420;593;1013;33,76;2375,15;DISTRICT_BLAZON_14.png;2003;20030101
AT1;91500;67976;33260;34716;440;401;841;308;423;731;3,92;17340,82;DISTRICT_BLAZON_15.png;2003;20030101
AT1;91600;89153;42785;46368;520;503;1023;423;526;949;8,67;10282,93;DISTRICT_BLAZON_16.png;2003;20030101
AT1;91700;49428;23555;25873;275;238;513;213;260;473;11,39;4339,6;DISTRICT_BLAZON_17.png;2003;20030101
AT1;91800;45872;20961;24911;258;239;497;211;390;601;6,35;7223,94;DISTRICT_BLAZON_18.png;2003;20030101
AT1;91900;66017;29593;36424;301;268;569;343;534;877;24,94;2647,03;DISTRICT_BLAZON_19.png;2003;20030101
AT1;92000;78792;38595;40197;507;478;985;383;455;838;5,71;13798,95;DISTRICT_BLAZON_20.png;2003;20030101
AT1;92100;131892;62583;69309;626;616;1242;585;727;1312;44,44;2967,87;DISTRICT_BLAZON_21.png;2003;20030101
AT1;92200;140404;67124;73280;766;665;1431;571;576;1147;102,3;1372,47;DISTRICT_BLAZON_22.png;2003;20030101
AT1;92300;86486;40401;46085;393;352;745;346;499;845;32,07;2696,79;DISTRICT_BLAZON_23.png;2003;20030101
AT1;90100;17384;8241;9143;72;73;145;103;107;210;2,87;6057,14;DISTRICT_BLAZON_1.png;2004;20040101
AT1;90200;90837;44158;46679;491;471;962;364;482;846;19,24;4721,26;DISTRICT_BLAZON_2.png;2004;20040101
AT1;90300;83019;39327;43692;428;414;842;366;473;839;7,4;11218,78;DISTRICT_BLAZON_3.png;2004;20040101
AT1;90400;29394;13630;15764;146;155;301;107;197;304;1,78;16513,48;DISTRICT_BLAZON_4.png;2004;20040101
AT1;90500;51098;24664;26434;300;283;583;204;281;485;2,01;25421,89;DISTRICT_BLAZON_5.png;2004;20040101
